text,annotations,params_str
"Хочу найти полимер с с нормальная пермеабельностью по углекислому газу, при этом с высокая температура деструкции, что требуется с высокая энергия распада на атомы, что важно для с скромная проницаемость для водорода, что важно превосходное число электронов, так как требуется сохранять механическую прочность при низких температурах","[{'param': 'permCO2', 'label': 'средняя', 'phrase': 'с нормальная пермеабельностью по углекислому газу', 'code': 'P_CO2'}, {'param': 'Td', 'label': 'высокая', 'phrase': 'с высокая температура деструкции', 'code': 'терморазл'}, {'param': 'Eat', 'label': 'высокая', 'phrase': 'с высокая энергия распада на атомы', 'code': 'энерг_атом'}, {'param': 'permH2', 'label': 'низкая', 'phrase': 'с скромная проницаемость для водорода', 'code': 'пермеаб_H2'}, {'param': 'ne', 'label': 'высокая', 'phrase': 'превосходное число электронов', 'code': 'кол_эл'}]",P_CO2:средняя|терморазл:высокая|энерг_атом:высокая|пермеаб_H2:низкая|кол_эл:высокая
"Найди подходящий полимер с высокая диэлектрическая прочность на пробой, что критично с невысокий индексом горючести, что важно для умеренная энергия группового вклада, что критично высокая атомизационная энергия, который позволит обеспечивать нужный уровень плотности","[{'param': 'epsb', 'label': 'высокая', 'phrase': 'высокая диэлектрическая прочность на пробой', 'code': 'эл_прочн'}, {'param': 'LOI', 'label': 'низкая', 'phrase': 'с невысокий индексом горючести', 'code': 'кисл_индекс'}, {'param': 'Egc', 'label': 'средняя', 'phrase': 'умеренная энергия группового вклада', 'code': 'Egc'}, {'param': 'Eat', 'label': 'высокая', 'phrase': 'высокая атомизационная энергия', 'code': 'энерг_атом'}]",эл_прочн:высокая|кисл_индекс:низкая|Egc:средняя|энерг_атом:высокая
"Подскажи материал с с выдающаяся плотность сшивки, и стандартная теплоемкость, который подходит для максимизировать эффективность процесса","[{'param': 'Xe', 'label': 'высокая', 'phrase': 'с выдающаяся плотность сшивки', 'code': 'плотн_сшив'}, {'param': 'Cp', 'label': 'средняя', 'phrase': 'стандартная теплоемкость', 'code': 'теплоемк'}]",плотн_сшив:высокая|теплоемк:средняя
"Мне нужен полимер с нормальная проницаемость для азота, который имеет с средний модулем эластичности, чтобы обеспечивать высокую газонепроницаемость","[{'param': 'permN2', 'label': 'средняя', 'phrase': 'нормальная проницаемость для азота', 'code': 'P_N2'}, {'param': 'YM', 'label': 'средняя', 'phrase': 'с средний модулем эластичности', 'code': 'модуль_Юнга'}]",P_N2:средняя|модуль_Юнга:средняя
"Найди подходящий полимер с умеренный модуль Юнга, что важно высокое число углеродных атомов, что важно с невысокая проницаемость для кислорода, который позволит повышать устойчивость к старению","[{'param': 'YM', 'label': 'средняя', 'phrase': 'умеренный модуль Юнга', 'code': 'E'}, {'param': 'nc', 'label': 'высокая', 'phrase': 'высокое число углеродных атомов', 'code': 'nc'}, {'param': 'permO2', 'label': 'низкая', 'phrase': 'с невысокая проницаемость для кислорода', 'code': 'пермеаб_O2'}]",E:средняя|nc:высокая|пермеаб_O2:низкая
"Какой полимер с скромная степень сшивания, который имеет средняя энергия химических связей подойдёт, чтобы обеспечивать необходимую упругость материала?","[{'param': 'Xe', 'label': 'низкая', 'phrase': 'скромная степень сшивания', 'code': 'сшив'}, {'param': 'Egb', 'label': 'средняя', 'phrase': 'средняя энергия химических связей', 'code': 'Egb'}]",сшив:низкая|Egb:средняя
"Ищу материал с с умеренная ДП при 1.78 ГГц, который имеет превосходное число атомов углерода, еще , что необходимо невысокий модуль упругости, что важно с стандартная объемной плотностью, что важно с низкая энергия группового вклада для обеспечивать гибкость конструкции","[{'param': 'epse_1.78', 'label': 'средняя', 'phrase': 'с умеренная ДП при 1.78 ГГц', 'code': 'дпр_1.78'}, {'param': 'nc', 'label': 'высокая', 'phrase': 'превосходное число атомов углерода', 'code': 'число_C'}, {'param': 'YM', 'label': 'низкая', 'phrase': 'невысокий модуль упругости', 'code': 'модуль_Юнга'}, {'param': 'rho', 'label': 'средняя', 'phrase': 'с стандартная объемной плотностью', 'code': 'ρ'}, {'param': 'Egc', 'label': 'низкая', 'phrase': 'с низкая энергия группового вклада', 'code': 'вклад_гр'}]",дпр_1.78:средняя|число_C:высокая|модуль_Юнга:низкая|ρ:средняя|вклад_гр:низкая
"Для решения задачи требуется материал с с нормальная пермеабельностью по O2, что требуется высокое число электронов, еще , что необходимо небольшой модуль эластичности, дополнительно с невысокая диэлектрической проницаемостью на 7 ГГц, который сможет подходить для литьевого формования под давлением","[{'param': 'permO2', 'label': 'средняя', 'phrase': 'с нормальная пермеабельностью по O2', 'code': 'проницаем_O2'}, {'param': 'ne', 'label': 'высокая', 'phrase': 'высокое число электронов', 'code': 'кол_эл'}, {'param': 'YM', 'label': 'низкая', 'phrase': 'небольшой модуль эластичности', 'code': 'YM'}, {'param': 'epse_7.0', 'label': 'низкая', 'phrase': 'с невысокая диэлектрической проницаемостью на 7 ГГц', 'code': 'эпс_7'}]",проницаем_O2:средняя|кол_эл:высокая|YM:низкая|эпс_7:низкая
"Сгенерируй полимер, обладающий скромная предел текучести, дополнительно нормальная теплоемкость, что важно с большая плотность сшивки, что важно с нормальная диэлектрической проницаемостью на 6 ГГц, чтобы обеспечить обеспечивать необходимую упругость материала","[{'param': 'TSy', 'label': 'низкая', 'phrase': 'скромная предел текучести', 'code': 'прочн_тек'}, {'param': 'Cp', 'label': 'средняя', 'phrase': 'нормальная теплоемкость', 'code': 'удельн_теплоемк'}, {'param': 'Xe', 'label': 'высокая', 'phrase': 'с большая плотность сшивки', 'code': 'Xe'}, {'param': 'epse_6.0', 'label': 'средняя', 'phrase': 'с нормальная диэлектрической проницаемостью на 6 ГГц', 'code': 'ε@6'}]",прочн_тек:низкая|удельн_теплоемк:средняя|Xe:высокая|ε@6:средняя
"Требуется полимер с с стандартная пермеабельностью по H2, который имеет с небольшая эпсилон на 2 ГГц, способный выдерживать высокие нагрузки","[{'param': 'permH2', 'label': 'средняя', 'phrase': 'с стандартная пермеабельностью по H2', 'code': 'пермеаб_H2'}, {'param': 'epse_2.0', 'label': 'низкая', 'phrase': 'с небольшая эпсилон на 2 ГГц', 'code': 'дпр_2'}]",пермеаб_H2:средняя|дпр_2:низкая
"Хочу найти полимер с с значительная статической ДП, но при этом нормальная атомизационная энергия, что критично нормальная ДП на 1.78 ГГц, так как требуется обеспечивать оптимальное тепловое расширение","[{'param': 'epsc', 'label': 'высокая', 'phrase': 'с значительная статической ДП', 'code': 'эпс_стат'}, {'param': 'Eat', 'label': 'средняя', 'phrase': 'нормальная атомизационная энергия', 'code': 'Eat'}, {'param': 'epse_1.78', 'label': 'средняя', 'phrase': 'нормальная ДП на 1.78 ГГц', 'code': 'дпр_1.78'}]",эпс_стат:высокая|Eat:средняя|дпр_1.78:средняя
"Найди подходящий полимер с с значительная статической ДП, что критично нормальная диэлектрическая прочность, что критично невысокая теплоемкость, который позволит удерживать газовые смеси без утечек","[{'param': 'epsc', 'label': 'высокая', 'phrase': 'с значительная статической ДП', 'code': 'дпр_стат'}, {'param': 'epsb', 'label': 'средняя', 'phrase': 'нормальная диэлектрическая прочность', 'code': 'пробой'}, {'param': 'Cp', 'label': 'низкая', 'phrase': 'невысокая теплоемкость', 'code': 'Cp'}]",дпр_стат:высокая|пробой:средняя|Cp:низкая
"Сгенерируй полимер, обладающий выдающаяся пермеабельность по CH4, который имеет средняя удельная масса, а также с скромная эпсилон на 6 ГГц, что требуется невысокая эпсилон на 9 ГГц, но при этом стандартная энергия химических связей, чтобы обеспечить обеспечивать высокую термостойкость","[{'param': 'permCH4', 'label': 'высокая', 'phrase': 'выдающаяся пермеабельность по CH4', 'code': 'проницаем_CH4'}, {'param': 'rho', 'label': 'средняя', 'phrase': 'средняя удельная масса', 'code': 'удельн_масса'}, {'param': 'epse_6.0', 'label': 'низкая', 'phrase': 'с скромная эпсилон на 6 ГГц', 'code': 'ε@6'}, {'param': 'epse_9.0', 'label': 'низкая', 'phrase': 'невысокая эпсилон на 9 ГГц', 'code': 'дпр_9'}, {'param': 'Egb', 'label': 'средняя', 'phrase': 'стандартная энергия химических связей', 'code': 'вклад_связ'}]",проницаем_CH4:высокая|удельн_масса:средняя|ε@6:низкая|дпр_9:низкая|вклад_связ:средняя
"Нужен состав с умеренная энергия ионизации, что критично средняя ДП на 7 ГГц, еще , что необходимо с скромная разрывной прочностью, что критично маленькая энергия химических связей, что критично с превосходное электронное число, который минимизировать потери сигнала в СВЧ-диапазоне","[{'param': 'Ei', 'label': 'средняя', 'phrase': 'умеренная энергия ионизации', 'code': 'Ei'}, {'param': 'epse_7.0', 'label': 'средняя', 'phrase': 'средняя ДП на 7 ГГц', 'code': 'ε@7'}, {'param': 'TSb', 'label': 'низкая', 'phrase': 'с скромная разрывной прочностью', 'code': 'σ_разр'}, {'param': 'Egb', 'label': 'низкая', 'phrase': 'маленькая энергия химических связей', 'code': 'энерг_связ'}, {'param': 'ne', 'label': 'высокая', 'phrase': 'с превосходное электронное число', 'code': 'ne'}]",Ei:средняя|ε@7:средняя|σ_разр:низкая|энерг_связ:низкая|ne:высокая
"Хочу найти полимер с значительная ДП на 5 ГГц, и при этом средний кислородный индекс, что важно выдающаяся коэффициент проницаемости кислорода, что важно для с маленькая статической ДП, но при этом стандартная ДП на 2 ГГц, так как требуется сохранять форму под давлением","[{'param': 'epse_5.0', 'label': 'высокая', 'phrase': 'значительная ДП на 5 ГГц', 'code': 'дпр_5'}, {'param': 'LOI', 'label': 'средняя', 'phrase': 'средний кислородный индекс', 'code': 'кисл_индекс'}, {'param': 'permO2', 'label': 'высокая', 'phrase': 'выдающаяся коэффициент проницаемости кислорода', 'code': 'пермеаб_O2'}, {'param': 'epsc', 'label': 'низкая', 'phrase': 'с маленькая статической ДП', 'code': 'дпр_стат'}, {'param': 'epse_2.0', 'label': 'средняя', 'phrase': 'стандартная ДП на 2 ГГц', 'code': 'ε@2'}]",дпр_5:высокая|кисл_индекс:средняя|пермеаб_O2:высокая|дпр_стат:низкая|ε@2:средняя
"Сгенерируй полимер, обладающий с большая эпсилон на 9 ГГц, но при этом с скромная ДП при 15 ГГц, и при этом большая удельная энергия связи, что требуется с невысокая диэлектрическая проницаемость на 5 ГГц, чтобы обеспечить минимизировать тепловые потери","[{'param': 'epse_9.0', 'label': 'высокая', 'phrase': 'с большая эпсилон на 9 ГГц', 'code': 'ε@9'}, {'param': 'epse_15.0', 'label': 'низкая', 'phrase': 'с скромная ДП при 15 ГГц', 'code': 'дпр_15'}, {'param': 'CED', 'label': 'высокая', 'phrase': 'большая удельная энергия связи', 'code': 'плотн_энерг'}, {'param': 'epse_5.0', 'label': 'низкая', 'phrase': 'с невысокая диэлектрическая проницаемость на 5 ГГц', 'code': 'эпс_5'}]",ε@9:высокая|дпр_15:низкая|плотн_энерг:высокая|эпс_5:низкая
"Подбери полимер с с низкая ДП при 6 ГГц, который имеет с нормальная напряжением текучести, который имеет стандартная проницаемость для метана, необходимый для сохранять форму под давлением","[{'param': 'epse_6.0', 'label': 'низкая', 'phrase': 'с низкая ДП при 6 ГГц', 'code': 'ε@6'}, {'param': 'TSy', 'label': 'средняя', 'phrase': 'с нормальная напряжением текучести', 'code': 'прочн_тек'}, {'param': 'permCH4', 'label': 'средняя', 'phrase': 'стандартная проницаемость для метана', 'code': 'P_CH4'}]",ε@6:низкая|прочн_тек:средняя|P_CH4:средняя
"Какой полимер с маленькая ДП на 1.78 ГГц, при этом с выдающаяся пермеабельностью по N2, при этом стандартная объемная плотность, который имеет с превосходная пермеабельность по He, что важно для с низкая ДП при 15 ГГц подойдёт, чтобы обеспечивать стабильность размеров?","[{'param': 'epse_1.78', 'label': 'низкая', 'phrase': 'маленькая ДП на 1.78 ГГц', 'code': 'ε@1.78'}, {'param': 'permN2', 'label': 'высокая', 'phrase': 'с выдающаяся пермеабельностью по N2', 'code': 'пермеаб_N2'}, {'param': 'rho', 'label': 'средняя', 'phrase': 'стандартная объемная плотность', 'code': 'плотн'}, {'param': 'permHe', 'label': 'высокая', 'phrase': 'с превосходная пермеабельность по He', 'code': 'P_He'}, {'param': 'epse_15.0', 'label': 'низкая', 'phrase': 'с низкая ДП при 15 ГГц', 'code': 'ε@15'}]",ε@1.78:низкая|пермеаб_N2:высокая|плотн:средняя|P_He:высокая|ε@15:низкая
"Можешь подобрать полимер с с превосходная энергией распада, что важно для с большой модулем эластичности, и при этом с нормальная пермеабельностью по CH4, что требуется большая проницаемость для углекислого газа, а также нормальная теплоемкость, чтобы обеспечивать устойчивость к ультрафиолету","[{'param': 'Eat', 'label': 'высокая', 'phrase': 'с превосходная энергией распада', 'code': 'энерг_атом'}, {'param': 'YM', 'label': 'высокая', 'phrase': 'с большой модулем эластичности', 'code': 'E'}, {'param': 'permCH4', 'label': 'средняя', 'phrase': 'с нормальная пермеабельностью по CH4', 'code': 'пермеаб_CH4'}, {'param': 'permCO2', 'label': 'высокая', 'phrase': 'большая проницаемость для углекислого газа', 'code': 'проницаем_CO2'}, {'param': 'Cp', 'label': 'средняя', 'phrase': 'нормальная теплоемкость', 'code': 'удельн_теплоемк'}]",энерг_атом:высокая|E:высокая|пермеаб_CH4:средняя|проницаем_CO2:высокая|удельн_теплоемк:средняя
"Подбери полимер с с низкая диэлектрической проницаемостью на 5 ГГц, что важно для с невысокая пермеабельность по CO2, что требуется выдающаяся теплоемкость, необходимый для передавать электрический сигнал без потерь","[{'param': 'epse_5.0', 'label': 'низкая', 'phrase': 'с низкая диэлектрической проницаемостью на 5 ГГц', 'code': 'ε@5'}, {'param': 'permCO2', 'label': 'низкая', 'phrase': 'с невысокая пермеабельность по CO2', 'code': 'P_CO2'}, {'param': 'Cp', 'label': 'высокая', 'phrase': 'выдающаяся теплоемкость', 'code': 'теплоемк'}]",ε@5:низкая|P_CO2:низкая|теплоемк:высокая
"Интересует полимер с маленькая ДП на 3 ГГц, еще , что необходимо с скромная пермеабельностью по H2, что важно с превосходная энергия группового вклада, и при этом умеренная удельная теплота, обеспечивающий обеспечивать стабильные диэлектрические свойства на высокой частоте","[{'param': 'epse_3.0', 'label': 'низкая', 'phrase': 'маленькая ДП на 3 ГГц', 'code': 'ε@3'}, {'param': 'permH2', 'label': 'низкая', 'phrase': 'с скромная пермеабельностью по H2', 'code': 'P_H2'}, {'param': 'Egc', 'label': 'высокая', 'phrase': 'с превосходная энергия группового вклада', 'code': 'Egc'}, {'param': 'Cp', 'label': 'средняя', 'phrase': 'умеренная удельная теплота', 'code': 'теплоемк'}]",ε@3:низкая|P_H2:низкая|Egc:высокая|теплоемк:средняя
"Требуется полимер с невысокая диэлектрическая постоянная, при этом нормальное число углеродных атомов, способный защищать оборудование от пробоя","[{'param': 'epsc', 'label': 'низкая', 'phrase': 'невысокая диэлектрическая постоянная', 'code': 'эпс_стат'}, {'param': 'nc', 'label': 'средняя', 'phrase': 'нормальное число углеродных атомов', 'code': 'кол_C'}]",эпс_стат:низкая|кол_C:средняя
"Сгенерируй полимер, обладающий скромная объемная плотность, который имеет маленькая предел текучести, который имеет с значительный индексом горючести, дополнительно маленькая эпсилон на 15 ГГц, а также выдающаяся внутримолекулярная энергия, чтобы обеспечить подходить для мембранной фильтрации газов","[{'param': 'rho', 'label': 'низкая', 'phrase': 'скромная объемная плотность', 'code': 'ρ'}, {'param': 'TSy', 'label': 'низкая', 'phrase': 'маленькая предел текучести', 'code': 'прочн_тек'}, {'param': 'LOI', 'label': 'высокая', 'phrase': 'с значительный индексом горючести', 'code': 'кисл_индекс'}, {'param': 'epse_15.0', 'label': 'низкая', 'phrase': 'маленькая эпсилон на 15 ГГц', 'code': 'ε@15'}, {'param': 'Eib', 'label': 'высокая', 'phrase': 'выдающаяся внутримолекулярная энергия', 'code': 'Eib'}]",ρ:низкая|прочн_тек:низкая|кисл_индекс:высокая|ε@15:низкая|Eib:высокая
"Какой полимер с среднее число атомов углерода, при этом стандартный модуль упругости подойдёт, чтобы удерживать газовые смеси без утечек?","[{'param': 'nc', 'label': 'средняя', 'phrase': 'среднее число атомов углерода', 'code': 'кол_C'}, {'param': 'YM', 'label': 'средняя', 'phrase': 'стандартный модуль упругости', 'code': 'модуль_Юнга'}]",кол_C:средняя|модуль_Юнга:средняя
"Хочу найти полимер с с маленькая энергия связей, но при этом с значительная объемной плотностью, что важно с низкая диэлектрическая прочность на пробой, что требуется маленькая ДП на 6 ГГц, еще , что необходимо превосходная потенциал ионизации, так как требуется подходить для мембранной фильтрации газов","[{'param': 'Egb', 'label': 'низкая', 'phrase': 'с маленькая энергия связей', 'code': 'вклад_связ'}, {'param': 'rho', 'label': 'высокая', 'phrase': 'с значительная объемной плотностью', 'code': 'ρ'}, {'param': 'epsb', 'label': 'низкая', 'phrase': 'с низкая диэлектрическая прочность на пробой', 'code': 'эл_прочн'}, {'param': 'epse_6.0', 'label': 'низкая', 'phrase': 'маленькая ДП на 6 ГГц', 'code': 'эпс_6'}, {'param': 'Ei', 'label': 'высокая', 'phrase': 'превосходная потенциал ионизации', 'code': 'Ei'}]",вклад_связ:низкая|ρ:высокая|эл_прочн:низкая|эпс_6:низкая|Ei:высокая
"Ищу материал с с средняя напряжение текучести, а также умеренная пермеабельность по H2 для уменьшать массу конструкции без потери прочности","[{'param': 'TSy', 'label': 'средняя', 'phrase': 'с средняя напряжение текучести', 'code': 'прочн_тек'}, {'param': 'permH2', 'label': 'средняя', 'phrase': 'умеренная пермеабельность по H2', 'code': 'пермеаб_H2'}]",прочн_тек:средняя|пермеаб_H2:средняя
"Какой полимер с небольшая теплоемкость, что критично низкая проницаемость для метана подойдёт, чтобы уменьшать массу конструкции без потери прочности?","[{'param': 'Cp', 'label': 'низкая', 'phrase': 'небольшая теплоемкость', 'code': 'Cp'}, {'param': 'permCH4', 'label': 'низкая', 'phrase': 'низкая проницаемость для метана', 'code': 'проницаем_CH4'}]",Cp:низкая|проницаем_CH4:низкая
"Подбери полимер с значительная статическая ДП, и большая эпсилон на 3 ГГц, и при этом с превосходная пермеабельностью по углекислому газу, необходимый для обеспечивать устойчивость к ультрафиолету","[{'param': 'epsc', 'label': 'высокая', 'phrase': 'значительная статическая ДП', 'code': 'εs'}, {'param': 'epse_3.0', 'label': 'высокая', 'phrase': 'большая эпсилон на 3 ГГц', 'code': 'эпс_3'}, {'param': 'permCO2', 'label': 'высокая', 'phrase': 'с превосходная пермеабельностью по углекислому газу', 'code': 'пермеаб_CO2'}]",εs:высокая|эпс_3:высокая|пермеаб_CO2:высокая
"Нужен состав с превосходная диэлектрическая проницаемость на 1.78 ГГц, и при этом умеренный предельный кислородный индекс, что важно небольшая электрическая прочность, что важно для с маленькая эпсилон на 7 ГГц, который обеспечивать устойчивость к ультрафиолету","[{'param': 'epse_1.78', 'label': 'высокая', 'phrase': 'превосходная диэлектрическая проницаемость на 1.78 ГГц', 'code': 'ε@1.78'}, {'param': 'LOI', 'label': 'средняя', 'phrase': 'умеренный предельный кислородный индекс', 'code': 'инд_O2'}, {'param': 'epsb', 'label': 'низкая', 'phrase': 'небольшая электрическая прочность', 'code': 'эл_прочн'}, {'param': 'epse_7.0', 'label': 'низкая', 'phrase': 'с маленькая эпсилон на 7 ГГц', 'code': 'эпс_7'}]",ε@1.78:высокая|инд_O2:средняя|эл_прочн:низкая|эпс_7:низкая
"Какой полимер с с превосходное электронным числом, и при этом небольшая предел текучести подойдёт, чтобы минимизировать тепловые потери?","[{'param': 'ne', 'label': 'высокая', 'phrase': 'с превосходное электронным числом', 'code': 'число_эл'}, {'param': 'TSy', 'label': 'низкая', 'phrase': 'небольшая предел текучести', 'code': 'σ_тек'}]",число_эл:высокая|σ_тек:низкая
"Найди подходящий полимер с с скромный модулем эластичности, и при этом с средняя электрическая прочность, что критично маленькая ДП на 9 ГГц, что важно высокая проницаемость для углекислого газа, а также значительная проницаемость для метана, который позволит выдерживать высокие нагрузки","[{'param': 'YM', 'label': 'низкая', 'phrase': 'с скромный модулем эластичности', 'code': 'YM'}, {'param': 'epsb', 'label': 'средняя', 'phrase': 'с средняя электрическая прочность', 'code': 'пробой'}, {'param': 'epse_9.0', 'label': 'низкая', 'phrase': 'маленькая ДП на 9 ГГц', 'code': 'эпс_9'}, {'param': 'permCO2', 'label': 'высокая', 'phrase': 'высокая проницаемость для углекислого газа', 'code': 'P_CO2'}, {'param': 'permCH4', 'label': 'высокая', 'phrase': 'значительная проницаемость для метана', 'code': 'P_CH4'}]",YM:низкая|пробой:средняя|эпс_9:низкая|P_CO2:высокая|P_CH4:высокая
"Какой полимер с скромная предел прочности при разрыве, и с стандартная плотность сшивки подойдёт, чтобы применяться в 3D-печати благодаря стабильной вязкости?","[{'param': 'TSb', 'label': 'низкая', 'phrase': 'скромная предел прочности при разрыве', 'code': 'σ_разр'}, {'param': 'Xe', 'label': 'средняя', 'phrase': 'с стандартная плотность сшивки', 'code': 'плотн_сшив'}]",σ_разр:низкая|плотн_сшив:средняя
"Хочу найти полимер с с нормальная температурой деструкции, что важно для с превосходная диэлектрической проницаемостью на 6 ГГц, а также с низкая индекс кристалличности, и при этом высокая эпсилон на 4 ГГц, так как требуется защищать оборудование от пробоя","[{'param': 'Td', 'label': 'средняя', 'phrase': 'с нормальная температурой деструкции', 'code': 'Td'}, {'param': 'epse_6.0', 'label': 'высокая', 'phrase': 'с превосходная диэлектрической проницаемостью на 6 ГГц', 'code': 'эпс_6'}, {'param': 'Xc', 'label': 'низкая', 'phrase': 'с низкая индекс кристалличности', 'code': 'степ_крист'}, {'param': 'epse_4.0', 'label': 'высокая', 'phrase': 'высокая эпсилон на 4 ГГц', 'code': 'дпр_4'}]",Td:средняя|эпс_6:высокая|степ_крист:низкая|дпр_4:высокая
"Ищу материал с с большая пермеабельностью по H2, что требуется с значительная вкладом связей для обеспечивать высокую термостойкость","[{'param': 'permH2', 'label': 'высокая', 'phrase': 'с большая пермеабельностью по H2', 'code': 'проницаем_H2'}, {'param': 'Egb', 'label': 'высокая', 'phrase': 'с значительная вкладом связей', 'code': 'Egb'}]",проницаем_H2:высокая|Egb:высокая
